Run,Model,True_Label,Predicted_Label,Count
4,VGGish,Tekukur,Tekukur,14
4,VGGish,Tekukur,Trucukan,0
4,VGGish,Trucukan,Cendet,0
4,VGGish,Trucukan,Gereja,0
4,VGGish,Trucukan,Kutilang,0
4,VGGish,Trucukan,Perkutut,0
4,VGGish,Trucukan,Tekukur,0
4,VGGish,Trucukan,Trucukan,19
5,VGGish,Cendet,Cendet,18
5,VGGish,Cendet,Gereja,1
5,VGGish,Cendet,Kutilang,0
5,VGGish,Cendet,Perkutut,0
5,VGGish,Cendet,Tekukur,0
5,VGGish,Cendet,Trucukan,0
5,VGGish,Gereja,Cendet,0
5,VGGish,Gereja,Gereja,11
5,VGGish,Gereja,Kutilang,0
5,VGGish,Gereja,Perkutut,0
5,VGGish,Gereja,Tekukur,2
5,VGGish,Gereja,Trucukan,0
5,VGGish,Kutilang,Cendet,0
5,VGGish,Kutilang,Gereja,0
5,VGGish,Kutilang,Kutilang,30
5,VGGish,Kutilang,Perkutut,0
5,VGGish,Kutilang,Tekukur,0
5,VGGish,Kutilang,Trucukan,0
5,VGGish,Perkutut,Cendet,1
5,VGGish,Perkutut,Gereja,0
5,VGGish,Perkutut,Kutilang,1
5,VGGish,Perkutut,Perkutut,14
5,VGGish,Perkutut,Tekukur,0
5,VGGish,Perkutut,Trucukan,0
5,VGGish,Tekukur,Cendet,0
5,VGGish,Tekukur,Gereja,0
5,VGGish,Tekukur,Kutilang,0
5,VGGish,Tekukur,Perkutut,0
5,VGGish,Tekukur,Tekukur,15
5,VGGish,Tekukur,Trucukan,0
5,VGGish,Trucukan,Cendet,0
5,VGGish,Trucukan,Gereja,1
5,VGGish,Trucukan,Kutilang,0
5,VGGish,Trucukan,Perkutut,0
5,VGGish,Trucukan,Tekukur,0
5,VGGish,Trucukan,Trucukan,18
6,VGGish,Cendet,Cendet,19
6,VGGish,Cendet,Gereja,0
6,VGGish,Cendet,Kutilang,0
6,VGGish,Cendet,Perkutut,0
6,VGGish,Cendet,Tekukur,0
6,VGGish,Cendet,Trucukan,0
6,VGGish,Gereja,Cendet,0
6,VGGish,Gereja,Gereja,12
6,VGGish,Gereja,Kutilang,0
6,VGGish,Gereja,Perkutut,0
6,VGGish,Gereja,Tekukur,0
6,VGGish,Gereja,Trucukan,1
6,VGGish,Kutilang,Cendet,0
6,VGGish,Kutilang,Gereja,1
6,VGGish,Kutilang,Kutilang,28
6,VGGish,Kutilang,Perkutut,0
6,VGGish,Kutilang,Tekukur,0
6,VGGish,Kutilang,Trucukan,1
6,VGGish,Perkutut,Cendet,0
6,VGGish,Perkutut,Gereja,0
6,VGGish,Perkutut,Kutilang,0
6,VGGish,Perkutut,Perkutut,16
6,VGGish,Perkutut,Tekukur,0
6,VGGish,Perkutut,Trucukan,0
6,VGGish,Tekukur,Cendet,0
6,VGGish,Tekukur,Gereja,1
6,VGGish,Tekukur,Kutilang,0
6,VGGish,Tekukur,Perkutut,0
6,VGGish,Tekukur,Tekukur,14
6,VGGish,Tekukur,Trucukan,0
6,VGGish,Trucukan,Cendet,0
6,VGGish,Trucukan,Gereja,0
6,VGGish,Trucukan,Kutilang,2
6,VGGish,Trucukan,Perkutut,0
6,VGGish,Trucukan,Tekukur,0
6,VGGish,Trucukan,Trucukan,17
7,VGGish,Cendet,Cendet,18
7,VGGish,Cendet,Gereja,0
7,VGGish,Cendet,Kutilang,1
7,VGGish,Cendet,Perkutut,0
7,VGGish,Cendet,Tekukur,0
7,VGGish,Cendet,Trucukan,0
7,VGGish,Gereja,Cendet,1
7,VGGish,Gereja,Gereja,12
7,VGGish,Gereja,Kutilang,0
7,VGGish,Gereja,Perkutut,0
7,VGGish,Gereja,Tekukur,0
7,VGGish,Gereja,Trucukan,0
7,VGGish,Kutilang,Cendet,0
7,VGGish,Kutilang,Gereja,0
7,VGGish,Kutilang,Kutilang,30
7,VGGish,Kutilang,Perkutut,0
7,VGGish,Kutilang,Tekukur,0
7,VGGish,Kutilang,Trucukan,0
7,VGGish,Perkutut,Cendet,0
7,VGGish,Perkutut,Gereja,1
7,VGGish,Perkutut,Kutilang,0
7,VGGish,Perkutut,Perkutut,15
7,VGGish,Perkutut,Tekukur,0
7,VGGish,Perkutut,Trucukan,0
7,VGGish,Tekukur,Cendet,0
7,VGGish,Tekukur,Gereja,0
7,VGGish,Tekukur,Kutilang,0
7,VGGish,Tekukur,Perkutut,0
7,VGGish,Tekukur,Tekukur,15
7,VGGish,Tekukur,Trucukan,0
7,VGGish,Trucukan,Cendet,0
7,VGGish,Trucukan,Gereja,0
7,VGGish,Trucukan,Kutilang,0
7,VGGish,Trucukan,Perkutut,0
7,VGGish,Trucukan,Tekukur,0
7,VGGish,Trucukan,Trucukan,19
8,VGGish,Cendet,Cendet,17
8,VGGish,Cendet,Gereja,0
8,VGGish,Cendet,Kutilang,0
8,VGGish,Cendet,Perkutut,0
8,VGGish,Cendet,Tekukur,1
8,VGGish,Cendet,Trucukan,1
8,VGGish,Gereja,Cendet,1
8,VGGish,Gereja,Gereja,12
8,VGGish,Gereja,Kutilang,0
8,VGGish,Gereja,Perkutut,0
8,VGGish,Gereja,Tekukur,0
8,VGGish,Gereja,Trucukan,0
8,VGGish,Kutilang,Cendet,0
8,VGGish,Kutilang,Gereja,0
8,VGGish,Kutilang,Kutilang,30
8,VGGish,Kutilang,Perkutut,0
8,VGGish,Kutilang,Tekukur,0
8,VGGish,Kutilang,Trucukan,0
8,VGGish,Perkutut,Cendet,0
8,VGGish,Perkutut,Gereja,0
8,VGGish,Perkutut,Kutilang,0
8,VGGish,Perkutut,Perkutut,16
8,VGGish,Perkutut,Tekukur,0
8,VGGish,Perkutut,Trucukan,0
8,VGGish,Tekukur,Cendet,0
8,VGGish,Tekukur,Gereja,0
8,VGGish,Tekukur,Kutilang,0
8,VGGish,Tekukur,Perkutut,0
8,VGGish,Tekukur,Tekukur,15
8,VGGish,Tekukur,Trucukan,0
8,VGGish,Trucukan,Cendet,1
8,VGGish,Trucukan,Gereja,0
8,VGGish,Trucukan,Kutilang,0
8,VGGish,Trucukan,Perkutut,0
8,VGGish,Trucukan,Tekukur,0
8,VGGish,Trucukan,Trucukan,18
9,VGGish,Cendet,Cendet,16
9,VGGish,Cendet,Gereja,2
9,VGGish,Cendet,Kutilang,1
9,VGGish,Cendet,Perkutut,0
9,VGGish,Cendet,Tekukur,0
9,VGGish,Cendet,Trucukan,0
9,VGGish,Gereja,Cendet,0
9,VGGish,Gereja,Gereja,13
9,VGGish,Gereja,Kutilang,0
9,VGGish,Gereja,Perkutut,0
9,VGGish,Gereja,Tekukur,0
9,VGGish,Gereja,Trucukan,0
9,VGGish,Kutilang,Cendet,0
9,VGGish,Kutilang,Gereja,0
9,VGGish,Kutilang,Kutilang,30
9,VGGish,Kutilang,Perkutut,0
9,VGGish,Kutilang,Tekukur,0
9,VGGish,Kutilang,Trucukan,0
9,VGGish,Perkutut,Cendet,0
9,VGGish,Perkutut,Gereja,1
9,VGGish,Perkutut,Kutilang,0
9,VGGish,Perkutut,Perkutut,14
9,VGGish,Perkutut,Tekukur,0
9,VGGish,Perkutut,Trucukan,1
9,VGGish,Tekukur,Cendet,0
9,VGGish,Tekukur,Gereja,1
9,VGGish,Tekukur,Kutilang,0
9,VGGish,Tekukur,Perkutut,0
9,VGGish,Tekukur,Tekukur,14
9,VGGish,Tekukur,Trucukan,0
9,VGGish,Trucukan,Cendet,0
9,VGGish,Trucukan,Gereja,0
9,VGGish,Trucukan,Kutilang,2
9,VGGish,Trucukan,Perkutut,0
9,VGGish,Trucukan,Tekukur,0
9,VGGish,Trucukan,Trucukan,17
10,VGGish,Cendet,Cendet,17
10,VGGish,Cendet,Gereja,0
10,VGGish,Cendet,Kutilang,1
10,VGGish,Cendet,Perkutut,0
10,VGGish,Cendet,Tekukur,0
10,VGGish,Cendet,Trucukan,1
10,VGGish,Gereja,Cendet,1
10,VGGish,Gereja,Gereja,12
10,VGGish,Gereja,Kutilang,0
10,VGGish,Gereja,Perkutut,0
10,VGGish,Gereja,Tekukur,0
10,VGGish,Gereja,Trucukan,0
10,VGGish,Kutilang,Cendet,0
10,VGGish,Kutilang,Gereja,0
10,VGGish,Kutilang,Kutilang,27
10,VGGish,Kutilang,Perkutut,2
10,VGGish,Kutilang,Tekukur,0
10,VGGish,Kutilang,Trucukan,1
10,VGGish,Perkutut,Cendet,0
10,VGGish,Perkutut,Gereja,0
10,VGGish,Perkutut,Kutilang,0
10,VGGish,Perkutut,Perkutut,16
10,VGGish,Perkutut,Tekukur,0
10,VGGish,Perkutut,Trucukan,0
10,VGGish,Tekukur,Cendet,0
10,VGGish,Tekukur,Gereja,1
10,VGGish,Tekukur,Kutilang,0
10,VGGish,Tekukur,Perkutut,0
10,VGGish,Tekukur,Tekukur,14
10,VGGish,Tekukur,Trucukan,0
10,VGGish,Trucukan,Cendet,0
10,VGGish,Trucukan,Gereja,0
10,VGGish,Trucukan,Kutilang,1
10,VGGish,Trucukan,Perkutut,0
10,VGGish,Trucukan,Tekukur,0
10,VGGish,Trucukan,Trucukan,18
11,VGGish,Cendet,Cendet,17
11,VGGish,Cendet,Gereja,1
11,VGGish,Cendet,Kutilang,1
11,VGGish,Cendet,Perkutut,0
11,VGGish,Cendet,Tekukur,0
11,VGGish,Cendet,Trucukan,0
11,VGGish,Gereja,Cendet,0
11,VGGish,Gereja,Gereja,13
11,VGGish,Gereja,Kutilang,0
11,VGGish,Gereja,Perkutut,0
11,VGGish,Gereja,Tekukur,0
11,VGGish,Gereja,Trucukan,0
11,VGGish,Kutilang,Cendet,0
11,VGGish,Kutilang,Gereja,0
11,VGGish,Kutilang,Kutilang,29
11,VGGish,Kutilang,Perkutut,0
11,VGGish,Kutilang,Tekukur,0
11,VGGish,Kutilang,Trucukan,1
11,VGGish,Perkutut,Cendet,0
11,VGGish,Perkutut,Gereja,0
11,VGGish,Perkutut,Kutilang,0
11,VGGish,Perkutut,Perkutut,16
11,VGGish,Perkutut,Tekukur,0
11,VGGish,Perkutut,Trucukan,0
11,VGGish,Tekukur,Cendet,0
11,VGGish,Tekukur,Gereja,0
11,VGGish,Tekukur,Kutilang,0
11,VGGish,Tekukur,Perkutut,0
11,VGGish,Tekukur,Tekukur,14
11,VGGish,Tekukur,Trucukan,1
11,VGGish,Trucukan,Cendet,1
11,VGGish,Trucukan,Gereja,0
11,VGGish,Trucukan,Kutilang,0
11,VGGish,Trucukan,Perkutut,0
11,VGGish,Trucukan,Tekukur,0
11,VGGish,Trucukan,Trucukan,18
12,VGGish,Cendet,Cendet,16
12,VGGish,Cendet,Gereja,0
12,VGGish,Cendet,Kutilang,2
12,VGGish,Cendet,Perkutut,1
12,VGGish,Cendet,Tekukur,0
12,VGGish,Cendet,Trucukan,0
12,VGGish,Gereja,Cendet,0
12,VGGish,Gereja,Gereja,13
12,VGGish,Gereja,Kutilang,0
12,VGGish,Gereja,Perkutut,0
12,VGGish,Gereja,Tekukur,0
12,VGGish,Gereja,Trucukan,0
12,VGGish,Kutilang,Cendet,0
12,VGGish,Kutilang,Gereja,0
12,VGGish,Kutilang,Kutilang,28
12,VGGish,Kutilang,Perkutut,1
12,VGGish,Kutilang,Tekukur,0
12,VGGish,Kutilang,Trucukan,1
12,VGGish,Perkutut,Cendet,0
12,VGGish,Perkutut,Gereja,0
12,VGGish,Perkutut,Kutilang,0
12,VGGish,Perkutut,Perkutut,15
12,VGGish,Perkutut,Tekukur,0
12,VGGish,Perkutut,Trucukan,1
12,VGGish,Tekukur,Cendet,0
12,VGGish,Tekukur,Gereja,0
12,VGGish,Tekukur,Kutilang,0
12,VGGish,Tekukur,Perkutut,0
12,VGGish,Tekukur,Tekukur,15
12,VGGish,Tekukur,Trucukan,0
12,VGGish,Trucukan,Cendet,0
12,VGGish,Trucukan,Gereja,0
12,VGGish,Trucukan,Kutilang,1
12,VGGish,Trucukan,Perkutut,0
12,VGGish,Trucukan,Tekukur,0
12,VGGish,Trucukan,Trucukan,18
13,VGGish,Cendet,Cendet,18
13,VGGish,Cendet,Gereja,0
13,VGGish,Cendet,Kutilang,0
13,VGGish,Cendet,Perkutut,0
13,VGGish,Cendet,Tekukur,0
13,VGGish,Cendet,Trucukan,1
13,VGGish,Gereja,Cendet,0
13,VGGish,Gereja,Gereja,10
13,VGGish,Gereja,Kutilang,0
13,VGGish,Gereja,Perkutut,0
13,VGGish,Gereja,Tekukur,1
13,VGGish,Gereja,Trucukan,2
13,VGGish,Kutilang,Cendet,0
13,VGGish,Kutilang,Gereja,0
13,VGGish,Kutilang,Kutilang,30
13,VGGish,Kutilang,Perkutut,0
13,VGGish,Kutilang,Tekukur,0
13,VGGish,Kutilang,Trucukan,0
13,VGGish,Perkutut,Cendet,0
13,VGGish,Perkutut,Gereja,0
13,VGGish,Perkutut,Kutilang,0
13,VGGish,Perkutut,Perkutut,15
13,VGGish,Perkutut,Tekukur,1
13,VGGish,Perkutut,Trucukan,0
13,VGGish,Tekukur,Cendet,0
13,VGGish,Tekukur,Gereja,1
13,VGGish,Tekukur,Kutilang,0
13,VGGish,Tekukur,Perkutut,0
13,VGGish,Tekukur,Tekukur,13
13,VGGish,Tekukur,Trucukan,1
13,VGGish,Trucukan,Cendet,0
13,VGGish,Trucukan,Gereja,0
13,VGGish,Trucukan,Kutilang,1
13,VGGish,Trucukan,Perkutut,0
13,VGGish,Trucukan,Tekukur,0
13,VGGish,Trucukan,Trucukan,18
14,VGGish,Cendet,Cendet,18
14,VGGish,Cendet,Gereja,0
14,VGGish,Cendet,Kutilang,0
14,VGGish,Cendet,Perkutut,0
14,VGGish,Cendet,Tekukur,0
14,VGGish,Cendet,Trucukan,1
14,VGGish,Gereja,Cendet,0
14,VGGish,Gereja,Gereja,13
14,VGGish,Gereja,Kutilang,0
14,VGGish,Gereja,Perkutut,0
14,VGGish,Gereja,Tekukur,0
14,VGGish,Gereja,Trucukan,0
14,VGGish,Kutilang,Cendet,0
14,VGGish,Kutilang,Gereja,0
14,VGGish,Kutilang,Kutilang,30
14,VGGish,Kutilang,Perkutut,0
14,VGGish,Kutilang,Tekukur,0
14,VGGish,Kutilang,Trucukan,0
14,VGGish,Perkutut,Cendet,0
14,VGGish,Perkutut,Gereja,0
14,VGGish,Perkutut,Kutilang,0
14,VGGish,Perkutut,Perkutut,16
14,VGGish,Perkutut,Tekukur,0
14,VGGish,Perkutut,Trucukan,0
14,VGGish,Tekukur,Cendet,0
14,VGGish,Tekukur,Gereja,0
14,VGGish,Tekukur,Kutilang,0
14,VGGish,Tekukur,Perkutut,0
14,VGGish,Tekukur,Tekukur,15
14,VGGish,Tekukur,Trucukan,0
14,VGGish,Trucukan,Cendet,0
14,VGGish,Trucukan,Gereja,0
14,VGGish,Trucukan,Kutilang,1
14,VGGish,Trucukan,Perkutut,0
14,VGGish,Trucukan,Tekukur,0
14,VGGish,Trucukan,Trucukan,18
15,VGGish,Cendet,Cendet,19
15,VGGish,Cendet,Gereja,0
15,VGGish,Cendet,Kutilang,0
15,VGGish,Cendet,Perkutut,0
15,VGGish,Cendet,Tekukur,0
15,VGGish,Cendet,Trucukan,0
15,VGGish,Gereja,Cendet,0
15,VGGish,Gereja,Gereja,13
15,VGGish,Gereja,Kutilang,0
15,VGGish,Gereja,Perkutut,0
15,VGGish,Gereja,Tekukur,0
15,VGGish,Gereja,Trucukan,0
15,VGGish,Kutilang,Cendet,0
15,VGGish,Kutilang,Gereja,0
15,VGGish,Kutilang,Kutilang,29
15,VGGish,Kutilang,Perkutut,0
15,VGGish,Kutilang,Tekukur,0
15,VGGish,Kutilang,Trucukan,1
15,VGGish,Perkutut,Cendet,0
15,VGGish,Perkutut,Gereja,0
15,VGGish,Perkutut,Kutilang,0
15,VGGish,Perkutut,Perkutut,16
15,VGGish,Perkutut,Tekukur,0
15,VGGish,Perkutut,Trucukan,0
15,VGGish,Tekukur,Cendet,0
15,VGGish,Tekukur,Gereja,1
15,VGGish,Tekukur,Kutilang,0
15,VGGish,Tekukur,Perkutut,0
15,VGGish,Tekukur,Tekukur,14
15,VGGish,Tekukur,Trucukan,0
15,VGGish,Trucukan,Cendet,0
15,VGGish,Trucukan,Gereja,0
15,VGGish,Trucukan,Kutilang,0
15,VGGish,Trucukan,Perkutut,0
15,VGGish,Trucukan,Tekukur,0
15,VGGish,Trucukan,Trucukan,19
16,VGGish,Cendet,Cendet,17
16,VGGish,Cendet,Gereja,0
16,VGGish,Cendet,Kutilang,0
16,VGGish,Cendet,Perkutut,0
16,VGGish,Cendet,Tekukur,1
16,VGGish,Cendet,Trucukan,1
16,VGGish,Gereja,Cendet,0
16,VGGish,Gereja,Gereja,13
16,VGGish,Gereja,Kutilang,0
16,VGGish,Gereja,Perkutut,0
16,VGGish,Gereja,Tekukur,0
16,VGGish,Gereja,Trucukan,0
16,VGGish,Kutilang,Cendet,0
16,VGGish,Kutilang,Gereja,1
16,VGGish,Kutilang,Kutilang,29
16,VGGish,Kutilang,Perkutut,0
16,VGGish,Kutilang,Tekukur,0
16,VGGish,Kutilang,Trucukan,0
16,VGGish,Perkutut,Cendet,0
16,VGGish,Perkutut,Gereja,0
16,VGGish,Perkutut,Kutilang,0
16,VGGish,Perkutut,Perkutut,14
16,VGGish,Perkutut,Tekukur,0
16,VGGish,Perkutut,Trucukan,2
16,VGGish,Tekukur,Cendet,0
16,VGGish,Tekukur,Gereja,0
16,VGGish,Tekukur,Kutilang,0
16,VGGish,Tekukur,Perkutut,0
16,VGGish,Tekukur,Tekukur,15
16,VGGish,Tekukur,Trucukan,0
16,VGGish,Trucukan,Cendet,1
16,VGGish,Trucukan,Gereja,0
16,VGGish,Trucukan,Kutilang,0
16,VGGish,Trucukan,Perkutut,0
16,VGGish,Trucukan,Tekukur,0
16,VGGish,Trucukan,Trucukan,18
17,VGGish,Cendet,Cendet,19
17,VGGish,Cendet,Gereja,0
17,VGGish,Cendet,Kutilang,0
17,VGGish,Cendet,Perkutut,0
17,VGGish,Cendet,Tekukur,0
17,VGGish,Cendet,Trucukan,0
17,VGGish,Gereja,Cendet,0
17,VGGish,Gereja,Gereja,13
17,VGGish,Gereja,Kutilang,0
17,VGGish,Gereja,Perkutut,0
17,VGGish,Gereja,Tekukur,0
17,VGGish,Gereja,Trucukan,0
17,VGGish,Kutilang,Cendet,0
17,VGGish,Kutilang,Gereja,0
17,VGGish,Kutilang,Kutilang,29
17,VGGish,Kutilang,Perkutut,1
17,VGGish,Kutilang,Tekukur,0
17,VGGish,Kutilang,Trucukan,0
17,VGGish,Perkutut,Cendet,0
17,VGGish,Perkutut,Gereja,2
17,VGGish,Perkutut,Kutilang,0
17,VGGish,Perkutut,Perkutut,14
17,VGGish,Perkutut,Tekukur,0
17,VGGish,Perkutut,Trucukan,0
17,VGGish,Tekukur,Cendet,0
17,VGGish,Tekukur,Gereja,0
17,VGGish,Tekukur,Kutilang,0
17,VGGish,Tekukur,Perkutut,0
17,VGGish,Tekukur,Tekukur,15
17,VGGish,Tekukur,Trucukan,0
17,VGGish,Trucukan,Cendet,0
17,VGGish,Trucukan,Gereja,0
17,VGGish,Trucukan,Kutilang,0
17,VGGish,Trucukan,Perkutut,0
17,VGGish,Trucukan,Tekukur,0
17,VGGish,Trucukan,Trucukan,19
18,VGGish,Cendet,Cendet,18
18,VGGish,Cendet,Gereja,0
18,VGGish,Cendet,Kutilang,0
18,VGGish,Cendet,Perkutut,1
18,VGGish,Cendet,Tekukur,0
18,VGGish,Cendet,Trucukan,0
18,VGGish,Gereja,Cendet,0
18,VGGish,Gereja,Gereja,13
18,VGGish,Gereja,Kutilang,0
18,VGGish,Gereja,Perkutut,0
18,VGGish,Gereja,Tekukur,0
18,VGGish,Gereja,Trucukan,0
18,VGGish,Kutilang,Cendet,0
18,VGGish,Kutilang,Gereja,0
18,VGGish,Kutilang,Kutilang,30
18,VGGish,Kutilang,Perkutut,0
18,VGGish,Kutilang,Tekukur,0
18,VGGish,Kutilang,Trucukan,0
18,VGGish,Perkutut,Cendet,0
18,VGGish,Perkutut,Gereja,0
18,VGGish,Perkutut,Kutilang,0
18,VGGish,Perkutut,Perkutut,15
18,VGGish,Perkutut,Tekukur,0
18,VGGish,Perkutut,Trucukan,1
18,VGGish,Tekukur,Cendet,0
18,VGGish,Tekukur,Gereja,0
18,VGGish,Tekukur,Kutilang,0
18,VGGish,Tekukur,Perkutut,0
18,VGGish,Tekukur,Tekukur,15
18,VGGish,Tekukur,Trucukan,0
18,VGGish,Trucukan,Cendet,0
18,VGGish,Trucukan,Gereja,0
18,VGGish,Trucukan,Kutilang,1
18,VGGish,Trucukan,Perkutut,0
18,VGGish,Trucukan,Tekukur,0
18,VGGish,Trucukan,Trucukan,18
19,VGGish,Cendet,Cendet,18
19,VGGish,Cendet,Gereja,0
19,VGGish,Cendet,Kutilang,1
19,VGGish,Cendet,Perkutut,0
19,VGGish,Cendet,Tekukur,0
19,VGGish,Cendet,Trucukan,0
19,VGGish,Gereja,Cendet,0
19,VGGish,Gereja,Gereja,13
19,VGGish,Gereja,Kutilang,0
19,VGGish,Gereja,Perkutut,0
19,VGGish,Gereja,Tekukur,0
19,VGGish,Gereja,Trucukan,0
19,VGGish,Kutilang,Cendet,0
19,VGGish,Kutilang,Gereja,0
19,VGGish,Kutilang,Kutilang,29
19,VGGish,Kutilang,Perkutut,0
19,VGGish,Kutilang,Tekukur,0
19,VGGish,Kutilang,Trucukan,1
19,VGGish,Perkutut,Cendet,1
19,VGGish,Perkutut,Gereja,0
19,VGGish,Perkutut,Kutilang,0
19,VGGish,Perkutut,Perkutut,15
19,VGGish,Perkutut,Tekukur,0
19,VGGish,Perkutut,Trucukan,0
19,VGGish,Tekukur,Cendet,0
19,VGGish,Tekukur,Gereja,0
19,VGGish,Tekukur,Kutilang,0
19,VGGish,Tekukur,Perkutut,0
19,VGGish,Tekukur,Tekukur,15
19,VGGish,Tekukur,Trucukan,0
19,VGGish,Trucukan,Cendet,1
19,VGGish,Trucukan,Gereja,0
19,VGGish,Trucukan,Kutilang,1
19,VGGish,Trucukan,Perkutut,0
19,VGGish,Trucukan,Tekukur,0
19,VGGish,Trucukan,Trucukan,17
20,VGGish,Cendet,Cendet,17
20,VGGish,Cendet,Gereja,0
