Run,Model,True_Label,Predicted_Label,Count
2,MobileNet (MFCC),Cendet,Cendet,18
2,MobileNet (MFCC),Cendet,Gereja,0
2,MobileNet (MFCC),Cendet,Kutilang,1
2,MobileNet (MFCC),Cendet,Perkutut,0
2,MobileNet (MFCC),Cendet,Tekukur,0
2,MobileNet (MFCC),Cendet,Trucukan,0
2,MobileNet (MFCC),Gereja,Cendet,0
2,MobileNet (MFCC),Gereja,Gereja,13
2,MobileNet (MFCC),Gereja,Kutilang,0
2,MobileNet (MFCC),Gereja,Perkutut,0
2,MobileNet (MFCC),Gereja,Tekukur,0
2,MobileNet (MFCC),Gereja,Trucukan,0
2,MobileNet (MFCC),Kutilang,Cendet,0
2,MobileNet (MFCC),Kutilang,Gereja,0
2,MobileNet (MFCC),Kutilang,Kutilang,30
2,MobileNet (MFCC),Kutilang,Perkutut,0
2,MobileNet (MFCC),Kutilang,Tekukur,0
2,MobileNet (MFCC),Kutilang,Trucukan,0
2,MobileNet (MFCC),Perkutut,Cendet,1
2,MobileNet (MFCC),Perkutut,Gereja,0
2,MobileNet (MFCC),Perkutut,Kutilang,0
2,MobileNet (MFCC),Perkutut,Perkutut,15
2,MobileNet (MFCC),Perkutut,Tekukur,0
2,MobileNet (MFCC),Perkutut,Trucukan,0
2,MobileNet (MFCC),Tekukur,Cendet,0
2,MobileNet (MFCC),Tekukur,Gereja,1
2,MobileNet (MFCC),Tekukur,Kutilang,0
2,MobileNet (MFCC),Tekukur,Perkutut,1
2,MobileNet (MFCC),Tekukur,Tekukur,13
2,MobileNet (MFCC),Tekukur,Trucukan,0
2,MobileNet (MFCC),Trucukan,Cendet,1
2,MobileNet (MFCC),Trucukan,Gereja,0
2,MobileNet (MFCC),Trucukan,Kutilang,1
2,MobileNet (MFCC),Trucukan,Perkutut,0
2,MobileNet (MFCC),Trucukan,Tekukur,0
2,MobileNet (MFCC),Trucukan,Trucukan,17
3,MobileNet (Mel),Cendet,Cendet,16
3,MobileNet (Mel),Cendet,Gereja,0
3,MobileNet (Mel),Cendet,Kutilang,1
3,MobileNet (Mel),Cendet,Perkutut,0
3,MobileNet (Mel),Cendet,Tekukur,0
3,MobileNet (Mel),Cendet,Trucukan,2
3,MobileNet (Mel),Gereja,Cendet,2
3,MobileNet (Mel),Gereja,Gereja,11
3,MobileNet (Mel),Gereja,Kutilang,0
3,MobileNet (Mel),Gereja,Perkutut,0
3,MobileNet (Mel),Gereja,Tekukur,0
3,MobileNet (Mel),Gereja,Trucukan,0
3,MobileNet (Mel),Kutilang,Cendet,0
3,MobileNet (Mel),Kutilang,Gereja,0
3,MobileNet (Mel),Kutilang,Kutilang,29
3,MobileNet (Mel),Kutilang,Perkutut,1
3,MobileNet (Mel),Kutilang,Tekukur,0
3,MobileNet (Mel),Kutilang,Trucukan,0
