Run,Model,Accuracy,Precision,Recall,F1,Train Accuracy,Train Loss,Val Accuracy,Val Loss
25,MobileNet (Mel),0.9196428571428571,0.9191468253968255,0.9073268106162843,0.909088196150479,1.0,5.393805622588843e-05,0.9375,0.4111305773258209
25,MobileNet (MFCC),0.9553571428571429,0.9500175070028011,0.94804318488529,0.9477718040621267,1.0,4.9727696023182943e-05,0.9553571343421936,0.32125145196914673
26,MobileNet (Mel),0.9732142857142857,0.9673611111111112,0.9769005847953217,0.9708850262431454,1.0,2.3931361283757724e-05,0.9732142686843872,0.10689114779233932
26,MobileNet (MFCC),0.9732142857142857,0.9737677527151213,0.9745614035087721,0.9737525486769286,1.0,2.818606390064815e-06,0.9732142686843872,0.10875947028398514
27,MobileNet (Mel),0.9821428571428571,0.9895833333333334,0.9808114035087719,0.9847428073234524,1.0,6.314068014035001e-05,0.9821428656578064,0.09824532270431519
27,MobileNet (MFCC),0.9732142857142857,0.9758736559139786,0.96875,0.970376531892971,1.0,0.00025493837893009186,0.9642857313156128,0.2844800055027008
28,MobileNet (Mel),1.0,1.0,1.0,1.0,1.0,8.88159320311388e-06,1.0,0.0021391441114246845
28,MobileNet (MFCC),0.9732142857142857,0.9757936507936509,0.9833333333333334,0.9786212325686011,1.0,2.1554225895670243e-05,0.9732142686843872,0.10165286809206009
29,MobileNet (Mel),0.9910714285714286,0.9946236559139785,0.9912280701754387,0.9927632550583371,1.0,6.51471345918253e-05,0.9821428656578064,0.037992414087057114
29,MobileNet (MFCC),0.9910714285714286,0.9895833333333334,0.9871794871794872,0.9879569892473118,1.0,1.9949004126829095e-05,0.9910714030265808,0.03851103037595749
30,MobileNet (Mel),0.9910714285714286,0.9916666666666667,0.9888888888888889,0.9899793692897142,1.0,9.414766827831045e-05,0.9910714030265808,0.03949427977204323
30,MobileNet (MFCC),1.0,1.0,1.0,1.0,1.0,1.7088153981603682e-05,1.0,0.009985155425965786
