Run,Model,Accuracy,Precision,Recall,F1,Train Accuracy,Train Loss,Val Accuracy,Val Loss
1,CNN Mel,0.8839285714285714,0.8899509803921569,0.8844298245614035,0.8847588686298365,1.0,0.0009834347292780876,0.9107142686843872,0.31043925881385803
1,CNN MFCC,1.0,1.0,1.0,1.0,1.0,0.0004359450249467045,0.9821428656578064,0.0799555703997612
2,CNN Mel,0.9285714285714286,0.9457747113997114,0.916025641025641,0.9252733174082098,1.0,0.0014205875340849161,0.9285714030265808,0.4415716528892517
2,CNN MFCC,0.9910714285714286,0.9946236559139785,0.9895833333333334,0.99189141547682,1.0,0.0003505478089209646,0.9910714030265808,0.08142851293087006
3,CNN Mel,0.9285714285714286,0.9357571318000885,0.9145720872694557,0.9220698528332486,1.0,0.002615730045363307,0.9285714030265808,0.244248166680336
3,CNN MFCC,0.9821428571428571,0.9788461538461538,0.9760683760683762,0.9771588564692012,1.0,0.0003822582948487252,0.9821428656578064,0.2038995325565338
4,CNN Mel,0.875,0.9141277023629967,0.866683535762483,0.8843706362083559,1.0,0.002738733310252428,0.9017857313156128,0.49966907501220703
4,CNN MFCC,0.9642857142857143,0.9690092165898618,0.9641447368421052,0.96572895988154,1.0,0.0002410504239378497,0.9821428656578064,0.13655200600624084
5,CNN Mel,0.8303571428571429,0.8505291005291006,0.8140772604588394,0.8231466246172129,1.0,0.006874416954815388,0.8928571343421936,0.41123703122138977
5,CNN MFCC,0.9821428571428571,0.9827188940092166,0.9784722222222223,0.9799714495338656,1.0,0.00021449352789204568,0.9821428656578064,0.061278410255908966
6,CNN Mel,0.8839285714285714,0.8783469089390142,0.8907332433648224,0.8792082284295856,1.0,0.00205002399161458,0.9107142686843872,0.5482720136642456
6,CNN MFCC,1.0,1.0,1.0,1.0,1.0,0.00024972346727736294,1.0,0.034384775906801224
7,CNN Mel,0.8214285714285714,0.8414425869921226,0.8147464012595592,0.803383545236779,1.0,0.0050313412211835384,0.9196428656578064,0.7075146436691284
7,CNN MFCC,0.9375,0.9512310606060606,0.9361195456590193,0.9411996553145255,1.0,0.0010416335426270962,0.9285714030265808,0.32581397891044617
8,CNN Mel,0.9375,0.9430005656108599,0.934474808816914,0.9371473210182888,1.0,0.0007322874735109508,0.9285714030265808,0.42776671051979065
8,CNN MFCC,0.9642857142857143,0.9670966632266942,0.9640800719748089,0.96518341307815,1.0,0.0003080235037487,0.9732142686843872,0.23189641535282135
9,CNN Mel,0.9464285714285714,0.9544390490114175,0.9466008771929824,0.9496655584609061,1.0,0.0001897324254969135,0.9464285969734192,0.21212276816368103
9,CNN MFCC,0.9821428571428571,0.9842069892473119,0.9784075573549259,0.9807202443056489,1.0,0.0007333580288104713,0.9821428656578064,0.045095186680555344
10,CNN Mel,0.9017857142857143,0.9157990157990158,0.9058198380566801,0.9093028300345374,1.0,0.0010270876809954643,0.9017857313156128,0.2886115610599518
10,CNN MFCC,0.9732142857142857,0.9812500000000001,0.9703947368421053,0.9747345360248586,1.0,0.0012590662809088826,0.9732142686843872,0.1300622820854187
11,CNN Mel,0.9196428571428571,0.9288114439324117,0.9217920602789024,0.9234029299186624,1.0,0.0006538995658047497,0.9285714030265808,0.28611263632774353
11,CNN MFCC,0.9732142857142857,0.9787506400409627,0.9697002923976608,0.9733064512022006,1.0,0.0003021611482836306,0.9732142686843872,0.06333895027637482
