Run,Model,Accuracy,Precision,Recall,F1,Train Accuracy,Train Loss,Val Accuracy,Val Loss
1,CNN Mel,0.9285714285714286,0.9289965108850557,0.9346125730994151,0.9310148266288617,1.0,0.0010471148416399956,0.9285714030265808,0.29182133078575134
1,CNN MFCC,0.9910714285714286,0.9946236559139785,0.9912280701754387,0.9927632550583371,1.0,0.00021025653404649347,0.9910714030265808,0.05826738849282265
2,CNN Mel,0.9017857142857143,0.9084500466853408,0.8881382141250561,0.8959086650039562,1.0,0.003113172482699156,0.9017857313156128,0.26156431436538696
2,CNN MFCC,1.0,1.0,1.0,1.0,1.0,0.00029513295157812536,0.9732142686843872,0.048242952674627304
3,CNN Mel,0.9285714285714286,0.9314671290477742,0.9186206702654071,0.9234769198274253,1.0,0.0008875076309777796,0.9017857313156128,0.3784027695655823
3,CNN MFCC,0.9732142857142857,0.9754350594227503,0.9655870445344129,0.9692305967633698,1.0,0.005717581603676081,0.9642857313156128,0.1524706333875656
4,CNN Mel,0.8928571428571429,0.8980171244877128,0.8867493252361673,0.8906674906674907,1.0,0.000435663852840662,0.9017857313156128,0.4443354904651642
4,CNN MFCC,0.9821428571428571,0.9895833333333334,0.9808114035087719,0.9847428073234524,1.0,0.0004817306180484593,0.9821428656578064,0.0682898610830307
5,CNN Mel,0.8928571428571429,0.8928585984686968,0.870619658119658,0.8764871760060641,1.0,0.0004365741624496877,0.9107142686843872,0.32862427830696106
5,CNN MFCC,0.9821428571428571,0.9827188940092166,0.9784722222222223,0.9799714495338656,1.0,0.0003896625421475619,0.9732142686843872,0.092568539083004
6,CNN Mel,0.8482142857142857,0.8374183006535948,0.8315564552406657,0.8332156732156731,1.0,0.0028668656013906,0.9017857313156128,0.5411616563796997
6,CNN MFCC,1.0,1.0,1.0,1.0,1.0,7.312778325285763e-05,1.0,0.008132778108119965
7,CNN Mel,0.8660714285714286,0.86920697766286,0.8498144399460189,0.8557116270825947,1.0,0.005031091161072254,0.9107142686843872,0.5835867524147034
7,CNN MFCC,0.9375,0.930392156862745,0.93144118308592,0.9289843230521196,1.0,0.002263459376990795,0.9553571343421936,0.3015841841697693
8,CNN Mel,0.9196428571428571,0.9198455878209698,0.9064946018893387,0.9109081645591152,1.0,0.0014818307245150208,0.9196428656578064,0.49012380838394165
8,CNN MFCC,0.9910714285714286,0.9916666666666667,0.9871794871794872,0.989059829059829,1.0,0.00010971153096761554,0.9910714030265808,0.0608161985874176
9,CNN Mel,0.9375,0.9603174603174603,0.9346125730994151,0.9440072012745354,1.0,0.0016599161317571998,0.9285714030265808,0.47427305579185486
9,CNN MFCC,0.9642857142857143,0.9744318181818182,0.9592189608636978,0.9659711497211497,1.0,0.0007421120535582304,0.9553571343421936,0.18431878089904785
10,CNN Mel,0.9375,0.9521825396825396,0.933707264957265,0.9405184773204796,1.0,0.0007308200583793223,0.9107142686843872,0.2855290472507477
10,CNN MFCC,0.9910714285714286,0.9946236559139785,0.9895833333333334,0.99189141547682,1.0,0.001362583483569324,0.9732142686843872,0.07170664519071579
11,CNN Mel,0.9196428571428571,0.9235197368421053,0.9179459064327485,0.9171030503120985,1.0,0.0016725951572880149,0.9375,0.3091999888420105
11,CNN MFCC,0.9732142857142857,0.9773391812865498,0.9752558479532164,0.9760226662603572,1.0,0.00040029120282270014,0.9732142686843872,0.049978818744421005
12,CNN Mel,0.8571428571428571,0.8604913381123059,0.8378064552406658,0.8403260699700844,1.0,0.012412810698151588,0.8482142686843872,0.5245078206062317
12,CNN MFCC,1.0,1.0,1.0,1.0,1.0,0.00024094624677672982,0.9910714030265808,0.037815142422914505
13,CNN Mel,0.8928571428571429,0.9045088566827696,0.9070175438596491,0.9003882254656249,1.0,0.005841877777129412,0.9196428656578064,0.38514021039009094
13,CNN MFCC,0.9910714285714286,0.9916666666666667,0.9912280701754387,0.9912219912219912,1.0,0.0003263948019593954,0.9821428656578064,0.057638563215732574
14,CNN Mel,0.9732142857142857,0.9756944444444445,0.9752558479532164,0.975249768999769,1.0,0.0041360436007380486,0.9464285969734192,0.13147291541099548
14,CNN MFCC,0.9732142857142857,0.9734698097601324,0.9696356275303644,0.9709144832095652,1.0,0.00037898067967034876,0.9732142686843872,0.0564977303147316
15,CNN Mel,0.9642857142857143,0.9582341269841269,0.9680555555555556,0.9623011534394553,1.0,0.0008245656499639153,0.9642857313156128,0.18237563967704773
15,CNN MFCC,0.9910714285714286,0.9946236559139785,0.9895833333333334,0.99189141547682,1.0,0.0005520299891941249,0.9910714030265808,0.024329137057065964
16,CNN Mel,0.9553571428571429,0.9566084229390682,0.9560672514619885,0.9541518023273708,1.0,0.003615301800891757,0.9285714030265808,0.291841059923172
16,CNN MFCC,0.9732142857142857,0.9812500000000001,0.9703947368421053,0.9747345360248586,1.0,0.0004164049169048667,0.9732142686843872,0.23191359639167786
17,CNN Mel,0.9464285714285714,0.9631313131313132,0.9466008771929825,0.9535692441699116,1.0,0.0016540472861379385,0.9464285969734192,0.1509614884853363
17,CNN MFCC,0.9732142857142857,0.97230222734255,0.9697002923976608,0.9704266224487159,1.0,0.0014519712422043085,0.9732142686843872,0.08842872828245163
18,CNN Mel,0.9464285714285714,0.9482002497282633,0.9472953216374269,0.9472159635862124,1.0,0.0005623071920126677,0.9375,0.33722642064094543
18,CNN MFCC,0.9910714285714286,0.9946236559139785,0.9912280701754387,0.9927632550583371,1.0,0.0003440591972321272,0.9910714030265808,0.026387330144643784
19,CNN Mel,0.8839285714285714,0.8990007068954436,0.8900303643724695,0.891481544674675,1.0,0.0031726902816444635,0.9107142686843872,0.4109951853752136
19,CNN MFCC,0.9642857142857143,0.9689066416040101,0.9592836257309941,0.9628206490353516,1.0,0.001020601368509233,0.9553571343421936,0.2925734519958496
20,CNN Mel,0.8660714285714286,0.8845538720538721,0.8709795321637426,0.8745978120978121,1.0,0.003158654784783721,0.8928571343421936,0.5329785346984863
20,CNN MFCC,1.0,1.0,1.0,1.0,1.0,0.0002038669044850394,0.9642857313156128,0.0552496500313282
21,CNN Mel,0.8928571428571429,0.9050295758553473,0.8978604363472784,0.898492939862253,1.0,0.0016862914199009538,0.9017857313156128,0.42289870977401733
21,CNN MFCC,0.9732142857142857,0.9808114035087719,0.9736842105263158,0.9765924668301578,1.0,0.0004758966388180852,0.9821428656578064,0.09331195056438446
22,CNN Mel,0.9553571428571429,0.9535714285714286,0.9479700854700855,0.9499820788530466,1.0,0.0031852221582084894,0.9642857313156128,0.13921527564525604
22,CNN MFCC,0.9910714285714286,0.9880952380952381,0.9912280701754387,0.9893226559893226,1.0,0.000234986626310274,0.9821428656578064,0.0289531908929348
23,CNN Mel,0.9285714285714286,0.9293179745959882,0.9281067251461989,0.9259863410403124,1.0,0.0007271458161994815,0.9196428656578064,0.3286774456501007
23,CNN MFCC,0.9821428571428571,0.9827188940092166,0.9791666666666666,0.9799838089455576,1.0,0.0001884816592792049,0.9821428656578064,0.05579540133476257
24,CNN Mel,0.9375,0.9473212601395963,0.9376911830859199,0.9419506562444022,1.0,0.0014210462104529142,0.9375,0.19495488703250885
24,CNN MFCC,1.0,1.0,1.0,1.0,1.0,0.0001484110252931714,1.0,0.011459986679255962
25,CNN Mel,0.8660714285714286,0.8697790227201992,0.8611729644624382,0.86356981981982,1.0,0.0026929196901619434,0.9017857313156128,0.42362406849861145
25,CNN MFCC,0.9553571428571429,0.9684873949579832,0.9505116959064327,0.9575432472702587,1.0,0.0007680170238018036,0.9642857313156128,0.4939374327659607
26,CNN Mel,0.8839285714285714,0.8838467066988739,0.8901681286549707,0.8807327226111256,1.0,0.0023482725955545902,0.9107142686843872,0.5413120985031128
26,CNN MFCC,0.9642857142857143,0.9640681003584229,0.9585891812865497,0.9593038828892876,1.0,0.0003287856525275856,0.9642857313156128,0.04864790663123131
27,CNN Mel,0.9375,0.9496794871794872,0.9386414754835807,0.943223556404869,1.0,0.002339150058105588,0.9553571343421936,0.2868337333202362
27,CNN MFCC,1.0,1.0,1.0,1.0,1.0,2.7826028599520214e-05,1.0,0.0018752386095002294
28,CNN Mel,0.8392857142857143,0.8508025883025883,0.8121766756635177,0.8238240615106286,1.0,0.00379144842736423,0.9017857313156128,0.7485681772232056
28,CNN MFCC,0.9642857142857143,0.9644522144522144,0.9607905982905983,0.9610483953600945,1.0,0.0029799987096339464,0.9642857313156128,0.29142794013023376
29,CNN Mel,0.9285714285714286,0.9429456818569723,0.9314411830859198,0.936197010322929,1.0,0.00035200524143874645,0.9464285969734192,0.26674604415893555
29,CNN MFCC,0.9732142857142857,0.9743855606758833,0.9713450292397661,0.9718150300871237,1.0,0.0003985640360042453,0.9732142686843872,0.0659523606300354
30,CNN Mel,0.9196428571428571,0.9324579831932773,0.9228070175438595,0.92508962562726,1.0,0.0008816753979772329,0.8839285969734192,0.2858189046382904
30,CNN MFCC,0.9464285714285714,0.9468825081728308,0.9376911830859199,0.9413999168763114,1.0,0.0011408274294808507,0.9464285969734192,0.2156268060207367
