Run,Model,Accuracy,Precision,Recall,F1,Train Accuracy,Train Loss,Val Accuracy,Val Loss
1,MobileNet (Mel),0.875,0.8982786828181566,0.870796783625731,0.8814371351576434,0.9977628588676453,0.03586365282535553,0.8660714030265808,0.3439667224884033
1,MobileNet (MFCC),0.9464285714285714,0.9516369047619048,0.9489400584795322,0.9487629430505775,1.0,0.006320124492049217,0.9464285969734192,0.14696110785007477
2,MobileNet (Mel),0.9553571428571429,0.9611111111111112,0.9562500000000002,0.9579378321591894,1.0,0.016966938972473145,0.9553571343421936,0.1769661009311676
2,MobileNet (MFCC),0.9285714285714286,0.9352062289562291,0.9250084345479083,0.9287662588997745,1.0,0.006916026584804058,0.9285714030265808,0.1953277587890625
3,MobileNet (Mel),0.9017857142857143,0.9073358830711773,0.8955859199280253,0.898288957159925,1.0,0.01345381885766983,0.9017857313156128,0.33459076285362244
3,MobileNet (MFCC),0.9107142857142857,0.9067544662939401,0.8993139901034639,0.9022709793507757,1.0,0.00594463711604476,0.9107142686843872,0.2435285896062851
4,MobileNet (Mel),0.9107142857142857,0.9221223221223221,0.9049876293297346,0.9109991859991862,1.0,0.037731632590293884,0.9107142686843872,0.3308534622192383
4,MobileNet (MFCC),0.8928571428571429,0.9104497354497353,0.8753177013045433,0.8889214659877714,1.0,0.006423128768801689,0.8928571343421936,0.34804537892341614
5,MobileNet (Mel),0.8928571428571429,0.9246809835045129,0.8906601439496176,0.9046976933830383,0.9977628588676453,0.03757217526435852,0.8928571343421936,0.3361380100250244
5,MobileNet (MFCC),0.9375,0.9396404446807672,0.9305639901034638,0.9340241943796213,1.0,0.005887375213205814,0.9375,0.24329033493995667
6,MobileNet (Mel),0.8660714285714286,0.8747958303879356,0.865915991902834,0.8692966964613825,1.0,0.0159678403288126,0.8660714030265808,0.30749979615211487
6,MobileNet (MFCC),0.9285714285714286,0.9334595959595959,0.9160987404408457,0.923403260213605,1.0,0.0062918043695390224,0.9285714030265808,0.21797344088554382
7,MobileNet (Mel),0.8839285714285714,0.9002760524499656,0.8658513270355375,0.8764316143626488,0.9977628588676453,0.06580386310815811,0.8839285969734192,0.5094037652015686
7,MobileNet (MFCC),0.8839285714285714,0.9155888442333456,0.8666638551506973,0.8828798441701666,1.0,0.005373213440179825,0.8839285969734192,0.32834717631340027
8,MobileNet (Mel),0.9017857142857143,0.9075884154831524,0.9116959064327484,0.9085652543910258,1.0,0.03824426978826523,0.9017857313156128,0.4262721836566925
8,MobileNet (MFCC),0.9553571428571429,0.9705882352941176,0.9538011695906433,0.9591778587087919,1.0,0.005228076595813036,0.9553571343421936,0.1556064784526825
9,MobileNet (Mel),0.9017857142857143,0.9238041370394313,0.894708726945569,0.9065929445239792,1.0,0.02528410404920578,0.9017857313156128,0.33657923340797424
9,MobileNet (MFCC),0.9553571428571429,0.9656598883572567,0.9504470310391363,0.956948969646338,1.0,0.005821289960294962,0.9553571343421936,0.13007007539272308
10,MobileNet (Mel),0.8928571428571429,0.8998015873015874,0.8774122807017544,0.8806684981684981,0.9977628588676453,0.05682593956589699,0.8928571343421936,0.4679035544395447
10,MobileNet (MFCC),0.8839285714285714,0.8943933381433382,0.8829031713900135,0.8857807502624576,1.0,0.005778087768703699,0.8839285969734192,0.2888716757297516
11,MobileNet (Mel),0.9464285714285714,0.9533088235294117,0.9359817813765182,0.9418819719222945,1.0,0.02518700249493122,0.9464285969734192,0.20102880895137787
11,MobileNet (MFCC),0.9464285714285714,0.951058201058201,0.9521564327485379,0.9510056789626683,1.0,0.006398324854671955,0.9464285969734192,0.1575261801481247
12,MobileNet (Mel),0.8928571428571429,0.9029761904761905,0.8859283625730994,0.888611119033811,1.0,0.019615866243839264,0.8928571343421936,0.27287670969963074
12,MobileNet (MFCC),0.9464285714285714,0.9573762838468721,0.9394005847953216,0.9461174404050748,1.0,0.00707977032288909,0.9464285969734192,0.17270486056804657
13,MobileNet (Mel),0.9017857142857143,0.9073492120499759,0.9017712550607286,0.9036581168034868,1.0,0.031636931002140045,0.8928571343421936,0.31355947256088257
13,MobileNet (MFCC),0.9464285714285714,0.9503584229390681,0.9505847953216375,0.9474701608259949,1.0,0.0061635831370949745,0.9464285969734192,0.18279610574245453
14,MobileNet (Mel),0.8571428571428571,0.8627859477124183,0.8524207152496627,0.8546658986175114,1.0,0.014402948319911957,0.8571428656578064,0.3273548483848572
14,MobileNet (MFCC),0.9107142857142857,0.906521392081737,0.9107456140350876,0.9067467954017983,1.0,0.0059783379547297955,0.9107142686843872,0.1880955994129181
15,MobileNet (Mel),0.8839285714285714,0.9078144078144078,0.8780420602789024,0.890298436850161,1.0,0.044137753546237946,0.8839285969734192,0.4055526852607727
15,MobileNet (MFCC),0.9285714285714286,0.9402406417112298,0.917743477282951,0.9266491809595259,1.0,0.005317728500813246,0.9285714030265808,0.18701013922691345
16,MobileNet (Mel),0.875,0.8889753764753764,0.86206983805668,0.8707169586479931,0.9977628588676453,0.04990668594837189,0.875,0.4494549334049225
16,MobileNet (MFCC),0.9285714285714286,0.9276071001877454,0.9209598515519568,0.923481584300831,1.0,0.005638451781123877,0.9285714030265808,0.21834947168827057
17,MobileNet (Mel),0.9375,0.9430179469653154,0.9249353351327035,0.9317147865242239,1.0,0.015817416831851006,0.9375,0.27569398283958435
17,MobileNet (MFCC),0.9196428571428571,0.9284654651334218,0.9033428924876293,0.9139266308050337,1.0,0.006237957160919905,0.9196428656578064,0.2366524189710617
18,MobileNet (Mel),0.9375,0.9381579872092206,0.9394736842105263,0.937068853264444,1.0,0.015582125633955002,0.9375,0.18237550556659698
18,MobileNet (MFCC),0.9375,0.9524316305469557,0.9241762258209626,0.9358291562238931,1.0,0.0064267730340361595,0.9375,0.2029843032360077
