Run,Model,Accuracy,Precision,Recall,F1,Train Accuracy,Train Loss,Val Accuracy,Val Loss
1,VGGish,0.9375,0.9389983726284036,0.9345479082321186,0.9353992545843139,1.0,0.01405678316950798,0.9375,0.17489750683307648
2,VGGish,0.9464285714285714,0.9454191033138403,0.9489400584795322,0.9461059652910248,1.0,0.008449302054941654,0.9375,0.16139470040798187
3,VGGish,0.9642857142857143,0.966663129598189,0.9568151147098516,0.9604586669388083,1.0,0.002866966649889946,0.9642857313156128,0.15687879920005798
4,VGGish,0.9642857142857143,0.9690092165898618,0.9657894736842105,0.9663505492128066,1.0,0.00475698709487915,0.9642857313156128,0.17764665186405182
5,VGGish,0.9464285714285714,0.9406028573111366,0.9359817813765182,0.9368225218149723,1.0,0.005802069790661335,0.9464285969734192,0.21415971219539642
6,VGGish,0.9464285714285714,0.9475355054302422,0.9474134053081421,0.9470793842844659,1.0,0.007406437303870916,0.9464285969734192,0.13335640728473663
7,VGGish,0.9732142857142857,0.9730312132689042,0.9679908906882592,0.9702989728317458,1.0,0.023801425471901894,0.9375,0.21104608476161957
8,VGGish,0.9642857142857143,0.9632675438596493,0.960863697705803,0.9616411997736277,1.0,0.007329676300287247,0.9642857313156128,0.15208972990512848
9,VGGish,0.9285714285714286,0.9363735393147158,0.9241959064327485,0.9251838044941495,1.0,0.012560209259390831,0.9375,0.21199433505535126
10,VGGish,0.9285714285714286,0.9312407898614795,0.9330859199280251,0.9311701190547411,1.0,0.008445840328931808,0.9196428656578064,0.3020717203617096
11,VGGish,0.9553571428571429,0.9566137566137568,0.9570175438596492,0.9561904521674637,1.0,0.0016467205714434385,0.9642857313156128,0.19654801487922668
12,VGGish,0.9375,0.947596457938014,0.9433845029239767,0.9440810555564655,1.0,0.007184710819274187,0.9375,0.19886063039302826
13,VGGish,0.9285714285714286,0.9269468882372109,0.9113557130004498,0.9170617077202828,1.0,0.006021980661898851,0.9285714030265808,0.15602144598960876
14,VGGish,0.9821428571428571,0.9858517260894172,0.9824561403508772,0.9839913252337756,1.0,0.00738974753767252,0.9821428656578064,0.06578569859266281
15,VGGish,0.9821428571428571,0.9797619047619048,0.9833333333333334,0.9809816710264792,1.0,0.0010646107839420438,0.9821428656578064,0.028937727212905884
16,VGGish,0.9464285714285714,0.9446097883597884,0.947295321637427,0.9443346663594524,1.0,0.008961252868175507,0.9464285969734192,0.17724429070949554
17,VGGish,0.9732142857142857,0.9666666666666667,0.9736111111111111,0.9691413470801115,1.0,0.0008105604792945087,0.9732142686843872,0.1055259108543396
18,VGGish,0.9732142857142857,0.9754350594227504,0.9720394736842106,0.973574658567109,1.0,0.0012442743172869086,0.9732142686843872,0.0485752634704113
19,VGGish,0.9553571428571429,0.9633213859020312,0.9577119883040935,0.9600929082684768,1.0,0.016774052754044533,0.9553571343421936,0.22037719190120697
20,VGGish,0.9375,0.9349537037037038,0.9353070175438597,0.9346045797658702,1.0,0.0014851604355499148,0.9375,0.17656207084655762
21,VGGish,0.9285714285714286,0.9233660130718954,0.9306286549707603,0.9254764340971238,1.0,0.0021831276826560497,0.9285714030265808,0.17426133155822754
22,VGGish,0.9821428571428571,0.9842069892473119,0.9808114035087719,0.9820105668862941,1.0,0.010019147768616676,0.9821428656578064,0.07963921874761581
23,VGGish,0.9732142857142857,0.97230222734255,0.9720394736842105,0.9714189941307428,1.0,0.006451077293604612,0.9553571343421936,0.14895296096801758
24,VGGish,0.9464285714285714,0.9637254901960784,0.941675101214575,0.9504340954744182,1.0,0.020206887274980545,0.9553571343421936,0.25645706057548523
25,VGGish,0.9375,0.9316468253968253,0.9258209626630679,0.9277734723971283,1.0,0.003954703453928232,0.9375,0.18014295399188995
26,VGGish,0.9285714285714286,0.9500000000000001,0.915148448043185,0.9275061975061977,1.0,0.015011809766292572,0.9375,0.3003242313861847
27,VGGish,0.9642857142857143,0.9608898046398048,0.9624353351327036,0.9611001239179205,1.0,0.029059838503599167,0.9375,0.19167277216911316
28,VGGish,0.9464285714285714,0.936904761904762,0.9323183760683761,0.9316166012402571,1.0,0.012400229461491108,0.9464285969734192,0.20661571621894836
29,VGGish,0.9107142857142857,0.926094276094276,0.903415991902834,0.9129680992584218,1.0,0.010483996011316776,0.9107142686843872,0.16615474224090576
30,VGGish,0.9196428571428571,0.923323667073667,0.9194528789923527,0.9207153937757386,1.0,0.02092316932976246,0.9285714030265808,0.2668030858039856
